Average Of Parameters Methods,Average Of Number of Edges,Average Of Number of Actions,Average Of Locality,Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing
0.7019230769230769,2.3365384615384617,2.0673076923076925,1.0,3.208053691275168,0.08053691275167785,1.1818791946308727,0.35570469798657717,1.5626757111432268,0.09127516778523488,0.04697986577181208
0.7383177570093458,2.3271028037383177,2.0654205607476634,1.0,3.2448979591836733,0.08163265306122448,1.2120748299319728,0.3673469387755102,1.568341865554198,0.07210884353741495,0.047619047619047616
0.803921568627451,2.343137254901961,2.0686274509803924,1.0,3.2758620689655173,0.08275862068965517,1.1439655172413794,0.3793103448275862,1.5461607377048232,0.05586206896551725,0.04827586206896552
0.8,2.342857142857143,2.066666666666667,1.0,3.2777777777777777,0.08333333333333333,1.0369378306878305,0.3611111111111111,1.6224765236915049,0.07465277777777778,0.04861111111111111
0.8235294117647058,2.3529411764705883,2.0686274509803924,1.0,3.2777777777777777,0.08333333333333333,1.1310763888888888,0.375,1.5504341823651053,0.078125,0.04861111111111111
0.7184466019417476,2.320388349514563,2.0388349514563107,1.0,3.3450704225352115,0.07746478873239436,1.3738430583501007,0.3732394366197183,1.5443530913887629,0.07042253521126761,0.04929577464788732
0.7058823529411765,2.323529411764706,2.0392156862745097,1.0,3.392857142857143,0.07857142857142857,0.8598809523809523,0.37857142857142856,1.5996530970283764,0.07261904761904761,0.05
0.72,2.33,2.04,1.0,3.4,0.07857142857142857,1.8830102040816326,0.37857142857142856,1.5698861906498227,0.05714285714285714,0.05
0.6857142857142857,2.3142857142857145,2.038095238095238,1.0,3.402877697841727,0.07913669064748201,0.8506509078451523,0.3669064748201439,1.6189177214042976,0.09712230215827339,0.050359712230215826
0.6981132075471698,2.311320754716981,2.0377358490566038,1.0,3.489051094890511,0.08029197080291971,1.9802224539450815,0.3722627737226277,1.622419674119343,0.08394160583941605,0.051094890510948905
0.7184466019417476,2.320388349514563,2.0388349514563107,1.0,3.4671532846715327,0.08029197080291971,1.2770594369134516,0.3795620437956204,1.6394987662025122,0.08394160583941605,0.051094890510948905
0.7090909090909091,2.3363636363636364,2.036363636363636,1.0,3.5597014925373136,0.08208955223880597,1.2370646766169153,0.3880597014925373,1.6261525526040608,0.12313432835820895,0.05223880597014925
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
