--- Front number 0 has 12 solutions ---

Average Of Parameters Methods,Average Of Number of Edges,Average Of Number of Actions,Average Of Locality,Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing

 0.7019230769230769 , 2.3365384615384617 , 2.0673076923076925 , 1.0 , 3.208053691275168 , 0.08053691275167785 , 1.1818791946308727 , 0.35570469798657717 , 1.5626757111432268 , 0.09127516778523488 , 0.04697986577181208
 0.7383177570093458 , 2.3271028037383177 , 2.0654205607476634 , 1.0 , 3.2448979591836733 , 0.08163265306122448 , 1.2120748299319728 , 0.3673469387755102 , 1.568341865554198 , 0.07210884353741495 , 0.047619047619047616
 0.803921568627451 , 2.343137254901961 , 2.0686274509803924 , 1.0 , 3.2758620689655173 , 0.08275862068965517 , 1.1439655172413794 , 0.3793103448275862 , 1.5461607377048232 , 0.05586206896551725 , 0.04827586206896552
 0.8 , 2.342857142857143 , 2.066666666666667 , 1.0 , 3.2777777777777777 , 0.08333333333333333 , 1.0369378306878305 , 0.3611111111111111 , 1.6224765236915049 , 0.07465277777777778 , 0.04861111111111111
 0.8235294117647058 , 2.3529411764705883 , 2.0686274509803924 , 1.0 , 3.2777777777777777 , 0.08333333333333333 , 1.1310763888888888 , 0.375 , 1.5504341823651053 , 0.078125 , 0.04861111111111111
 0.7184466019417476 , 2.320388349514563 , 2.0388349514563107 , 1.0 , 3.3450704225352115 , 0.07746478873239436 , 1.3738430583501007 , 0.3732394366197183 , 1.5443530913887629 , 0.07042253521126761 , 0.04929577464788732
 0.7058823529411765 , 2.323529411764706 , 2.0392156862745097 , 1.0 , 3.392857142857143 , 0.07857142857142857 , 0.8598809523809523 , 0.37857142857142856 , 1.5996530970283764 , 0.07261904761904761 , 0.05
 0.72 , 2.33 , 2.04 , 1.0 , 3.4 , 0.07857142857142857 , 1.8830102040816326 , 0.37857142857142856 , 1.5698861906498227 , 0.05714285714285714 , 0.05
 0.6857142857142857 , 2.3142857142857145 , 2.038095238095238 , 1.0 , 3.402877697841727 , 0.07913669064748201 , 0.8506509078451523 , 0.3669064748201439 , 1.6189177214042976 , 0.09712230215827339 , 0.050359712230215826
 0.6981132075471698 , 2.311320754716981 , 2.0377358490566038 , 1.0 , 3.489051094890511 , 0.08029197080291971 , 1.9802224539450815 , 0.3722627737226277 , 1.622419674119343 , 0.08394160583941605 , 0.051094890510948905
 0.7184466019417476 , 2.320388349514563 , 2.0388349514563107 , 1.0 , 3.4671532846715327 , 0.08029197080291971 , 1.2770594369134516 , 0.3795620437956204 , 1.6394987662025122 , 0.08394160583941605 , 0.051094890510948905
 0.7090909090909091 , 2.3363636363636364 , 2.036363636363636 , 1.0 , 3.5597014925373136 , 0.08208955223880597 , 1.2370646766169153 , 0.3880597014925373 , 1.6261525526040608 , 0.12313432835820895 , 0.05223880597014925

--- Front number 1 has 9 solutions ---

Average Of Parameters Methods,Average Of Number of Edges,Average Of Number of Actions,Average Of Locality,Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing

 0.7254901960784313 , 2.323529411764706 , 2.0392156862745097 , 1.0 , 3.4817518248175183 , 0.08029197080291971 , 1.4155717761557178 , 0.3795620437956204 , 1.6180471030385213 , 0.07664233576642336 , 0.051094890510948905
 0.7227722772277227 , 2.3267326732673266 , 2.0396039603960396 , 1.0 , 3.45985401459854 , 0.08029197080291971 , 1.1481056656239137 , 0.38686131386861317 , 1.6506240931694534 , 0.07664233576642336 , 0.051094890510948905
 0.7155172413793104 , 2.4655172413793105 , 2.086206896551724 , 1.0 , 3.618320610687023 , 0.09923664122137404 , 1.0636132315521627 , 0.40458015267175573 , 2.0517955415235924 , 0.08778625954198473 , 0.05343511450381679
 0.7672413793103449 , 2.4741379310344827 , 2.086206896551724 , 1.0 , 3.6307692307692307 , 0.1 , 1.0664835164835165 , 0.4076923076923077 , 2.050699082336792 , 0.08461538461538462 , 0.05384615384615385
 0.8108108108108109 , 2.4594594594594597 , 2.063063063063063 , 1.0 , 3.5984848484848486 , 0.09090909090909091 , 1.120165945165945 , 0.3939393939393939 , 1.6523383636556794 , 0.10984848484848485 , 0.05303030303030303
 0.7155172413793104 , 2.4655172413793105 , 2.086206896551724 , 1.0 , 3.6307692307692307 , 0.1 , 1.0628205128205128 , 0.4076923076923077 , 2.058245485415903 , 0.1 , 0.05384615384615385
 0.7586206896551724 , 2.4741379310344827 , 2.086206896551724 , 1.0 , 3.623076923076923 , 0.1 , 1.0615384615384615 , 0.4076923076923077 , 2.058245485415903 , 0.1076923076923077 , 0.05384615384615385
 0.7758620689655172 , 2.4827586206896552 , 2.086206896551724 , 1.0 , 3.643410852713178 , 0.10077519379844961 , 1.0876707272056108 , 0.4108527131782946 , 2.049561543203777 , 0.13953488372093023 , 0.05426356589147287
 0.788135593220339 , 2.4915254237288136 , 2.0847457627118646 , 1.0 , 3.6929133858267718 , 0.10236220472440945 , 1.0881139857517812 , 0.41732283464566927 , 2.082356351348935 , 0.11811023622047244 , 0.05511811023622047

--- Front number 2 has 27 solutions ---

Average Of Parameters Methods,Average Of Number of Edges,Average Of Number of Actions,Average Of Locality,Coupling,Cohesion,Complxity,Sability,Standard Deviation,Encapsulation,Interfacing

 1.0161290322580645 , 2.4919354838709675 , 2.056451612903226 , 1.0 , 3.8925619834710745 , 0.10743801652892562 , 2.1406926406926408 , 0.4214876033057851 , 2.1034210622909657 , 0.14049586776859505 , 0.05785123966942149
 1.2191780821917808 , 2.767123287671233 , 2.191780821917808 , 1.0 , 4.588235294117647 , 0.16666666666666666 , 1.449008834302952 , 0.5 , 3.219709733923872 , 0.07679738562091502 , 0.058823529411764705
 0.9838709677419355 , 2.475806451612903 , 2.056451612903226 , 1.0 , 3.9915254237288136 , 0.11016949152542373 , 1.929580306698951 , 0.4406779661016949 , 2.0994401273498644 , 0.1440677966101695 , 0.059322033898305086
 0.9919354838709677 , 2.4838709677419355 , 2.056451612903226 , 1.0 , 4.051724137931035 , 0.11206896551724138 , 2.013136288998358 , 0.4482758620689655 , 2.1129996725489346 , 0.12931034482758622 , 0.0603448275862069
 1.2 , 2.7655172413793103 , 2.193103448275862 , 1.0 , 4.447619047619048 , 0.1523809523809524 , 1.7585609628466767 , 0.5047619047619047 , 3.1634357915605005 , 0.09126984126984126 , 0.05714285714285714
 1.2291666666666667 , 2.7708333333333335 , 2.1944444444444446 , 1.0 , 4.490384615384615 , 0.16346153846153846 , 1.4108868695407157 , 0.4807692307692308 , 3.2028739894635843 , 0.09775641025641026 , 0.057692307692307696
 1.2039473684210527 , 2.7565789473684212 , 2.1842105263157894 , 1.0 , 4.6138613861386135 , 0.16831683168316833 , 1.493388459725093 , 0.49504950495049505 , 3.2330288040048067 , 0.09735973597359734 , 0.0594059405940594
 1.1949685534591195 , 2.8553459119496853 , 2.30188679245283 , 1.0 , 4.793814432989691 , 0.17525773195876287 , 1.714053472300895 , 0.5257731958762887 , 3.2537976754424633 , 0.09054982817869416 , 0.061855670103092786
 0.9831932773109243 , 2.504201680672269 , 2.0840336134453783 , 1.0 , 3.768 , 0.104 , 1.9415238095238097 , 0.432 , 2.062944966663889 , 0.12 , 0.056
